"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2002","879.80","879.40","881.90","869.50","","0.05%"
"12/30/2002","879.40","875.40","882.10","870.20","","0.46%"
"12/27/2002","875.40","889.70","890.50","873.60","","-1.61%"
"12/26/2002","889.70","892.50","903.90","887.50","","-0.31%"
"12/24/2002","892.50","897.40","897.40","892.30","","-0.55%"
"12/23/2002","897.40","895.70","902.40","892.30","","0.18%"
"12/20/2002","895.80","884.20","897.80","884.20","","1.31%"
"12/19/2002","884.20","890.00","899.20","880.30","","-0.77%"
"12/18/2002","891.10","903.00","903.00","887.80","","-1.32%"
"12/17/2002","903.00","910.40","911.20","901.70","","-0.81%"
"12/16/2002","910.40","889.50","910.40","889.50","","2.35%"
"12/13/2002","889.50","901.60","901.60","888.50","","-1.34%"
"12/12/2002","901.60","905.00","908.40","897.00","","-0.38%"
"12/11/2002","905.00","904.50","909.90","896.50","","0.06%"
"12/10/2002","904.50","892.00","905.00","892.00","","1.40%"
"12/09/2002","892.00","912.20","912.20","892.00","","-2.21%"
"12/06/2002","912.20","906.50","915.50","896.00","","0.63%"
"12/05/2002","906.50","917.60","921.50","905.90","","-1.21%"
"12/04/2002","917.60","920.80","925.20","909.50","","-0.35%"
"12/03/2002","920.80","934.50","934.50","918.70","","-1.47%"
"12/02/2002","934.50","936.30","954.30","927.70","","-0.19%"
"11/29/2002","936.30","938.90","941.80","935.60","","-0.28%"
"11/27/2002","938.90","913.30","940.40","913.30","","2.80%"
"11/26/2002","913.30","932.90","932.90","912.10","","-2.10%"
"11/25/2002","932.90","930.50","937.10","923.30","","0.26%"
"11/22/2002","930.50","933.80","937.30","928.40","","-0.35%"
"11/21/2002","933.80","914.10","935.10","914.10","","2.16%"
"11/20/2002","914.10","896.70","915.00","894.90","","1.94%"
"11/19/2002","896.70","900.40","905.50","893.10","","-0.41%"
"11/18/2002","900.40","909.80","915.90","899.50","","-1.03%"
"11/15/2002","909.80","904.30","910.20","895.40","","0.61%"
"11/14/2002","904.30","882.50","904.30","882.50","","2.47%"
"11/13/2002","882.50","883.00","892.50","872.00","","-0.06%"
"11/12/2002","883.00","876.20","894.30","876.20","","0.78%"
"11/11/2002","876.20","894.70","894.70","874.60","","-2.07%"
"11/08/2002","894.70","902.60","910.10","891.60","","-0.88%"
"11/07/2002","902.60","923.80","923.80","898.70","","-2.29%"
"11/06/2002","923.80","915.40","925.70","905.00","","0.92%"
