"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2008","903.20","890.60","910.30","889.70","","1.41%"
"12/30/2008","890.60","870.60","891.10","870.60","","2.44%"
"12/29/2008","869.40","872.40","873.70","857.10","","-0.39%"
"12/26/2008","872.80","869.50","873.70","866.50","","0.54%"
"12/24/2008","868.10","863.90","869.80","861.40","","0.57%"
"12/23/2008","863.20","874.30","880.40","860.10","","-0.96%"
"12/22/2008","871.60","887.20","887.40","857.10","","-1.84%"
"12/19/2008","887.90","887.00","905.50","883.00","","0.29%"
"12/18/2008","885.30","906.00","911.00","877.40","","-2.11%"
"12/17/2008","904.40","908.20","918.90","895.90","","-0.96%"
"12/16/2008","913.20","871.50","914.70","871.50","","5.13%"
"12/15/2008","868.60","881.10","884.60","857.70","","-1.26%"
"12/12/2008","879.70","871.80","883.20","851.40","","0.70%"
"12/11/2008","873.60","898.40","904.60","868.70","","-2.85%"
"12/10/2008","899.20","892.20","908.30","885.50","","1.18%"
"12/09/2008","888.70","906.50","916.30","885.40","","-2.31%"
"12/08/2008","909.70","882.70","918.60","882.70","","3.84%"
"12/05/2008","876.10","844.40","879.40","818.40","","3.66%"
"12/04/2008","845.20","869.80","875.60","833.60","","-2.93%"
"12/03/2008","870.70","843.60","873.10","827.60","","2.58%"
"12/02/2008","848.80","817.90","850.50","817.90","","3.99%"
"12/01/2008","816.20","888.60","888.60","815.70","","-8.93%"
"11/28/2008","896.20","886.90","896.20","881.20","","0.96%"
"11/26/2008","887.70","852.90","887.70","841.40","","3.53%"
"11/25/2008","857.40","853.40","868.90","835.00","","0.66%"
"11/24/2008","851.80","801.20","865.60","801.20","","6.47%"
"11/21/2008","800.00","755.80","801.20","741.00","","6.33%"
"11/20/2008","752.40","805.90","820.50","747.80","","-6.72%"
"11/19/2008","806.60","859.00","864.60","806.20","","-6.11%"
"11/18/2008","859.10","852.30","865.90","826.80","","0.98%"
"11/17/2008","850.80","873.20","882.30","849.00","","-2.58%"
"11/14/2008","873.30","904.40","916.90","869.90","","-4.17%"
"11/13/2008","911.30","853.10","913.00","818.70","","6.92%"
"11/12/2008","852.30","893.40","893.40","850.50","","-5.19%"
"11/11/2008","899.00","917.10","917.10","884.90","","-2.20%"
"11/10/2008","919.20","936.80","952.00","907.50","","-1.27%"
"11/07/2008","931.00","907.40","931.50","906.90","","2.88%"
"11/06/2008","904.90","952.40","952.40","899.70","","-5.03%"
"11/05/2008","952.80","1,001.80","1,001.80","949.90","","-5.27%"
"11/04/2008","1,005.80","971.30","1,007.50","971.30","","4.09%"
"11/03/2008","966.30","968.70","975.60","958.80","","-0.26%"
"10/31/2008","968.80","953.10","984.40","944.60","","1.54%"
"10/30/2008","954.10","939.40","963.20","928.50","","2.58%"
"10/29/2008","930.10","939.50","970.00","922.30","","-1.11%"
"10/28/2008","940.50","848.90","940.50","845.30","","10.79%"
"10/27/2008","848.90","874.30","893.80","846.80","","-3.18%"
"10/24/2008","876.80","895.20","896.30","852.90","","-3.45%"
"10/23/2008","908.10","899.10","922.80","858.40","","1.26%"
"10/22/2008","896.80","951.70","951.70","875.80","","-6.09%"
"10/21/2008","955.00","980.40","985.40","952.50","","-3.09%"
"10/20/2008","985.40","943.50","985.40","943.50","","4.77%"
"10/17/2008","940.50","942.30","984.60","918.70","","-0.62%"
"10/16/2008","946.40","909.50","947.70","865.80","","4.25%"
"10/15/2008","907.80","994.60","994.60","904.00","","-9.04%"
"10/14/2008","998.00","1,010.00","1,044.30","972.10","","-0.54%"
"10/13/2008","1,003.40","912.80","1,006.90","912.80","","11.59%"
